WBFTP0005,No,0,Minimal - barely any,1
wbftp0078,No,0,Minimal - barely any,1
WBFTP0079,No,0,Minimal - barely any,1
WBFTP0112,No,0,Minimal - barely any,1
WBFTP0147,No,0,Minimal - barely any,1
WBFTP0152,No,0,Minimal - barely any,1
WBFTP0157,No,0,Minimal - barely any,1
WBFTP0158,No,0,Minimal - barely any,1
WBFTP0202,No,0,Minimal - barely any,1
WBFTP0204,No,0,Minimal - barely any,1
WBFTP0210,No,0,Minimal - barely any,1
WBFTP0216,No,0,Minimal - barely any,1
WBFTP0220,No,0,Minimal - barely any,1
WBFTP0221,No,0,Minimal - barely any,1
WBFTP0222,No,0,Minimal - barely any,1
WBFTP0233,No,0,Minimal - barely any,1
WBFTP0234,No,0,Minimal - barely any,1
WBFTP0251,No,0,Minimal - barely any,1
Wbftp0284,No,0,Minimal - barely any,1
Wbftp0286,No,0,Minimal - barely any,1
WBFTP0308,No,0,Minimal - barely any,1
Wbftp0312,No,0,Minimal - barely any,1
WBFTP0080,No,0,Normal - adequate amount,2
WBFTP0082,No,0,Normal - adequate amount,2
WBFTP0085,No,0,Normal - adequate amount,2
WBFTP0086,No,0,Normal - adequate amount,2
Wbftp0114,No,0,Normal - adequate amount,2
Wbftp0115,No,0,Normal - adequate amount,2
Wbftp0116,No,0,Normal - adequate amount,2
Wbftp0117,No,0,Normal - adequate amount,2
WBFTP0124,No,0,Normal - adequate amount,2
WBFTP0211,No,0,Normal - adequate amount,2
WBFTP0212,No,0,Normal - adequate amount,2
WBFTP0213,No,0,Normal - adequate amount,2
WBFTP0214,No,0,Normal - adequate amount,2
WBFTP0218,No,0,Normal - adequate amount,2
WBFTP0219,No,0,Normal - adequate amount,2
WBFTP0225,No,0,Normal - adequate amount,2
WBFTP0226,No,0,Normal - adequate amount,2
WBFTP0228,No,0,Normal - adequate amount,2
WBFTP0231,No,0,Normal - adequate amount,2
WBFTP0235,No,0,Normal - adequate amount,2
WBFTP0236,No,0,Normal - adequate amount,2
WBFTP0237,No,0,Normal - adequate amount,2
Wbftp0285,No,0,Normal - adequate amount,2
WBFTP0293,No,0,Normal - adequate amount,2
WBFTP0294,No,0,Normal - adequate amount,2
Wbftp0313,No,0,Normal - adequate amount,2
Wbftp0314,No,0,Normal - adequate amount,2
Wbftp0317,No,0,Normal - adequate amount,2
WBFTP0328,No,0,Normal - adequate amount,2
WBFTP0329,No,0,Normal - adequate amount,2
WBFTP0330,No,0,Normal - adequate amount,2
WBFTP0331,No,0,Normal - adequate amount,2
WBFTP0338,No,0,Normal - adequate amount,2
WBFTP0339,No,0,Normal - adequate amount,2
WBFTP0048,No,0,Above average - lots of fruit!,3
WBFTP0055,No,0,Above average - lots of fruit!,3
WBFTP0067,No,0,Above average - lots of fruit!,3
WBFTP0342,No,0,Above average - lots of fruit!,3
WBFTP0343,No,0,Above average - lots of fruit!,3
WBFTP0056,No,0,N/A,
WBFTP0057,No,0,N/A,
WBFTP0058,No,0,N/A,
WBFTP0081,No,0,N/A,
Wbftp0113,No,0,N/A,
WBFTP0121,No,0,N/A,
WBFTP0201,No,0,N/A,
WBFTP0203,No,0,N/A,
WBFTP0205,No,0,N/A,
WBFTP0206,No,0,N/A,
WBFTP0207,No,0,N/A,
WBFTP0208,No,0,N/A,
WBFTP0215,No,0,N/A,
WBFTP0217,No,0,N/A,
WBFTP0223,No,0,N/A,
WBFTP0224,No,0,N/A,
WBFTP0227,No,0,N/A,
WBFTP0229,No,0,N/A,
WBFTP0230,No,0,N/A,
WBFTP0232,No,0,N/A,
Wbftp0240,No,0,N/A,
WBFTP0253,No,0,N/A,
WBFTP0255,No,0,N/A,
WBFTP0269,No,0,N/A,
WBFTP0270,No,0,N/A,
Wbftp0283,No,0,N/A,
WBFTP0287,No,0,N/A,
WBFTP0305,No,0,N/A,
WBFTP0307,No,0,N/A,
WBFTP0318,No,0,N/A,
WBFTP0319,No,0,N/A,
WBFTP0320,No,0,N/A,
WBFTP0321,No,0,N/A,
WBFTP0322,No,0,N/A,
WBFTP0323,No,0,N/A,
WBFTP0324,No,0,N/A,
WBFTP0325,No,0,N/A,
WBFTP0326,No,0,N/A,
WBFTP0327,No,0,N/A,
WBFTP0004,Yes,1,Minimal - barely any,1
WBFTP0006,Yes,1,Minimal - barely any,1
WBFTP0007,Yes,1,Minimal - barely any,1
WBFTP0012,Yes,1,Minimal - barely any,1
WBFTP0022,Yes,1,Minimal - barely any,1
WBFTP0025,Yes,1,Minimal - barely any,1
WBFTP0027,Yes,1,Minimal - barely any,1
WBFTP0028,Yes,1,Minimal - barely any,1
WBFTP0037,Yes,1,Minimal - barely any,1
WBFTP0038,Yes,1,Minimal - barely any,1
WBFTP0039,Yes,1,Minimal - barely any,1
WBFTP0049,Yes,1,Minimal - barely any,1
WBFTP0052,Yes,1,Minimal - barely any,1
WBFTP0053,Yes,1,Minimal - barely any,1
WBFTP0059,Yes,1,Minimal - barely any,1
WBFTP0060,Yes,1,Minimal - barely any,1
WBFTP0061,Yes,1,Minimal - barely any,1
WBFTP0062,Yes,1,Minimal - barely any,1
WBFTP0063,Yes,1,Minimal - barely any,1
WBFTP0070,Yes,1,Minimal - barely any,1
WBFTP0071,Yes,1,Minimal - barely any,1
WBFTP0075,Yes,1,Minimal - barely any,1
WBFTP0077,Yes,1,Minimal - barely any,1
Wbftp0132,Yes,1,Minimal - barely any,1
Wbftp0133,Yes,1,Minimal - barely any,1
Wbftp0135,Yes,1,Minimal - barely any,1
Wbftp0136,Yes,1,Minimal - barely any,1
Wbftp0138,Yes,1,Minimal - barely any,1
Wbftp0139,Yes,1,Minimal - barely any,1
